v
  0.176, reliability : -0.545, time : 220393970.000
mean :  0.117, stdev :  0.174, reliability : -0.488, time : 220416020.000
  0.176, reliability : -0.545, time : 220393970.000
mean :  0.117, stdev :  0.174, reliability : -0.488, time : 220416020.000
mean :  0.107, stdev :  0.161, reliability : -0.500, time : 220438510.000
mean :  0.093, stdev :  0.141, reliability : -0.513, time : 220460850.000
mean :  0.091, stdev :  0.138, reliability : -0.519, time : 220483010.000
mean :  0.092, stdev :  0.137, reliability : -0.492, time : 220505470.000
mean :  0.091, stdev :  0.137, reliability : -0.497, time : 220527840.000
mean :  0.089, stdev :  0.133, reliability : -0.498, time : 220550060.000
mean :  0.092, stdev :  0.135, reliability : -0.463, time : 220572480.000
mean :  0.094, stdev :  0.142, reliability : -0.505, time : 220594910.000
mean :  0.091, stdev :  0.140, reliability : -0.532, time : 220617140.000
mean :  0.093, stdev :  0.138, reliability : -0.492, time : 220639600.000
mean :  0.090, stdev :  0.136, reliability : -0.510, time : 220661980.000
mean :  0.091, stdev :  0.139, reliability : -0.528, time : 220684210.000
mean :  0.094, stdev :  0.140, reliability : -0.494, time : 220706690.000
mean :  0.092, stdev :  0.141, reliability : -0.533, time : 220729020.000
mean :  0.090, stdev :  0.134, reliability : -0.493, time : 220751280.000
mean :  0.093, stdev :  0.141, reliability : -0.523, time : 220773790.000
mean :  0.092, stdev :  0.141, reliability : -0.524, time : 220796100.000
mean :  0.091, stdev :  0.136, reliability : -0.496, time : 220818350.000
mean :  0.093, stdev :  0.136, reliability : -0.471, time : 220840770.000
mean :  0.091, stdev :  0.139, reliability : -0.529, time : 220863170.000
mean :  0.092, stdev :  0.138, reliability : -0.505, time : 220885460.000
mean :  0.091, stdev :  0.137, reliability : -0.511, time : 220907940.000
mean :  0.092, stdev :  0.142, reliability : -0.553, time : 220930210.000
mean :  0.093, stdev :  0.139, reliability : -0.496, time : 220952420.000
mean :  0.090, stdev :  0.135, reliability : -0.496, time : 220974900.000
mean :  0.089, stdev :  0.137, reliability : -0.532, time : 220997180.000
mean :  0.091, stdev :  0.136, reliability : -0.489, time : 221019420.000
mean :  0.090, stdev :  0.133, reliability : -0.487, time : 221041860.000
mean :  0.088, stdev :  0.134, reliability : -0.532, time : 221064180.000
mean :  0.089, stdev :  0.134, reliability : -0.505, time : 221086350.000
mean :  0.091, stdev :  0.135, reliability : -0.494, time : 221108800.000
mean :  0.087, stdev :  0.136, reliability : -0.573, time : 221131070.000
mean :  0.091, stdev :  0.137, reliability : -0.505, time : 221153260.000
mean :  0.089, stdev :  0.135, reliability : -0.504, time : 221175760.000
mean :  0.087, stdev :  0.136, reliability : -0.559, time : 221198020.000
mean :  0.091, stdev :  0.136, reliability : -0.497, time : 221220220.000
mean :  0.090, stdev :  0.133, reliability : -0.485, time : 221242740.000
mean :  0.084, stdev :  0.130, reliability : -0.546, time : 221265040.000
mean :  0.090, stdev :  0.133, reliability : -0.476, time : 221287220.000
mean :  0.091, stdev :  0.134, reliability : -0.483, time : 221309710.000
mean :  0.086, stdev :  0.133, reliability : -0.551, time : 221331980.000
mean :  0.090, stdev :  0.134, reliability : -0.483, time : 221354140.000
mean :  0.091, stdev :  0.133, reliability : -0.464, time : 221376640.000
