mean :  0.092, stdev :  0.103, reliability : -0.123, time : 2093787000.000
mean :  0.086, stdev :  0.100, reliability : -0.157, time : 2093808100.000
mean :  0.074, stdev :  0.096, reliability : -0.293, time : 2093834400.000
mean :  0.082, stdev :  0.100, reliability : -0.220, time : 2093854600.000
mean :  0.094, stdev :  0.105, reliability : -0.111, time : 2093877600.000
mean :  0.093, stdev :  0.104, reliability : -0.126, time : 2093900900.000
mean :  0.105, stdev :  0.109, reliability : -0.037, time : 2093922200.000
mean :  0.109, stdev :  0.111, reliability : -0.018, time : 2093947600.000
mean :  0.117, stdev :  0.110, reliability :  0.059, time : 2093968400.000
mean :  0.132, stdev :  0.115, reliability :  0.128, time : 2093990500.000
mean :  0.145, stdev :  0.114, reliability :  0.217, time : 2094015500.000
mean :  0.152, stdev :  0.117, reliability :  0.233, time : 2094036600.000
mean :  0.151, stdev :  0.113, reliability :  0.253, time : 2094061800.000
mean :  0.146, stdev :  0.119, reliability :  0.186, time : 2094083100.000
mean :  0.121, stdev :  0.115, reliability :  0.054, time : 2094105100.000
mean :  0.067, stdev :  0.089, reliability : -0.322, time : 2094130200.000
mean :  0.045, stdev :  0.069, reliability : -0.531, time : 2094150800.000
mean :  0.093, stdev :  0.111, reliability : -0.193, time : 2094174700.000
mean :  0.152, stdev :  0.121, reliability :  0.203, time : 2094196500.000
mean :  0.151, stdev :  0.129, reliability :  0.149, time : 2094218000.000
mean :  0.109, stdev :  0.109, reliability : -0.005, time : 2094244200.000
mean :  0.093, stdev :  0.108, reliability : -0.155, time : 2094264400.000
mean :  0.081, stdev :  0.103, reliability : -0.272, time : 2094287700.000
mean :  0.074, stdev :  0.095, reliability : -0.294, time : 2094310500.000
mean :  0.065, stdev :  0.091, reliability : -0.383, time : 2094332000.000
mean :  0.071, stdev :  0.093, reliability : -0.313, time : 2094357200.000
mean :  0.087, stdev :  0.105, reliability : -0.211, time : 2094377900.000
mean :  0.088, stdev :  0.105, reliability : -0.192, time : 2094399500.000
mean :  0.111, stdev :  0.115, reliability : -0.036, time : 2094424800.000
mean :  0.117, stdev :  0.116, reliability :  0.005, time : 2094445300.000
mean :  0.110, stdev :  0.113, reliability : -0.031, time : 2094469600.000
mean :  0.126, stdev :  0.120, reliability :  0.044, time : 2094491500.000
mean :  0.136, stdev :  0.112, reliability :  0.175, time : 2094513200.000
mean :  0.139, stdev :  0.118, reliability :  0.150, time : 2094539400.000
mean :  0.132, stdev :  0.114, reliability :  0.138, time : 2094559600.000
mean :  0.144, stdev :  0.119, reliability :  0.172, time : 2094583900.000
mean :  0.125, stdev :  0.115, reliability :  0.075, time : 2094606100.000
mean :  0.086, stdev :  0.102, reliability : -0.191, time : 2094627600.000
mean :  0.069, stdev :  0.094, reliability : -0.356, time : 2094653600.000
mean :  0.066, stdev :  0.092, reliability : -0.381, time : 2094673500.000
mean :  0.063, stdev :  0.089, reliability : -0.416, time : 2094696600.000
mean :  0.061, stdev :  0.087, reliability : -0.413, time : 2094720000.000
mean :  0.077, stdev :  0.099, reliability : -0.280, time : 2094740700.000
mean :  0.079, stdev :  0.102, reliability : -0.292, time : 2094765300.000
mean :  0.086, stdev :  0.102, reliability : -0.182, time : 2094786700.000
mean :  0.091, stdev :  0.104, reliability : -0.149, time : 2094807800.000
mean :  0.077, stdev :  0.098, reliability : -0.276, time : 2094834000.000
mean :  0.068, stdev :  0.091, reliability : -0.345, time : 2094854000.000
mean :  0.080, stdev :  0.101, reliability : -0.259, time : 2094876900.000
mean :  0.075, stdev :  0.097, reliability : -0.294, time : 2094900400.000
mean :  0.086, stdev :  0.103, reliability : -0.194, time : 2094921600.000
mean :  0.094, stdev :  0.107, reliability : -0.143, time : 2094946700.000
mean :  0.096, stdev :  0.110, reliability : -0.138, time : 2094967700.000
mean :  0.095, stdev :  0.107, reliability : -0.136, time : 2094989300.000
mean :  0.082, stdev :  0.101, reliability : -0.230, time : 2095014700.000
mean :  0.085, stdev :  0.102, reliability : -0.201, time : 2095035100.000
mean :  0.110, stdev :  0.116, reliability : -0.055, time : 2095059100.000
mean :  0.135, stdev :  0.115, reliability :  0.153, time : 2095081200.000
mean :  0.168, stdev :  0.112, reliability :  0.332, time : 2095102700.000
mean :  0.191, stdev :  0.116, reliability :  0.394, time : 2095129000.000
mean :  0.191, stdev :  0.119, reliability :  0.375, time : 2095149200.000
mean :  0.185, stdev :  0.120, reliability :  0.351, time : 2095173500.000
mean :  0.169, stdev :  0.115, reliability :  0.320, time : 2095195800.000
mean :  0.176, stdev :  0.117, reliability :  0.337, time : 2095217400.000
mean :  0.202, stdev :  0.122, reliability :  0.393, time : 2095243600.000
mean :  0.216, stdev :  0.120, reliability :  0.444, time : 2095263900.000
mean :  0.216, stdev :  0.123, reliability :  0.432, time : 2095288200.000
mean :  0.200, stdev :  0.116, reliability :  0.422, time : 2095310500.000
mean :  0.181, stdev :  0.120, reliability :  0.337, time : 2095332100.000
mean :  0.168, stdev :  0.122, reliability :  0.273, time : 2095358300.000
mean :  0.136, stdev :  0.113, reliability :  0.165, time : 2095378600.000
mean :  0.110, stdev :  0.115, reliability : -0.044, time : 2095402900.000
mean :  0.108, stdev :  0.114, reliability : -0.062, time : 2095425000.000
mean :  0.118, stdev :  0.118, reliability :  0.000, time : 2095446300.000
mean :  0.118, stdev :  0.117, reliability :  0.014, time : 2095472500.000
mean :  0.107, stdev :  0.111, reliability : -0.031, time : 2095492700.000
mean :  0.097, stdev :  0.110, reliability : -0.129, time : 2095515900.000
mean :  0.107, stdev :  0.114, reliability : -0.061, time : 2095539300.000
mean :  0.134, stdev :  0.123, reliability :  0.079, time : 2095560600.000
mean :  0.173, stdev :  0.119, reliability :  0.313, time : 2095586200.000
mean :  0.199, stdev :  0.122, reliability :  0.383, time : 2095607200.000
mean :  0.179, stdev :  0.122, reliability :  0.322, time : 2095630000.000
mean :  0.078, stdev :  0.100, reliability : -0.275, time : 2095653900.000
mean :  0.087, stdev :  0.108, reliability : -0.232, time : 2095674900.000
mean :  0.096, stdev :  0.114, reliability : -0.189, time : 2095699700.000
mean :  0.094, stdev :  0.113, reliability : -0.206, time : 2095720800.000
mean :  0.090, stdev :  0.109, reliability : -0.206, time : 2095742200.000
mean :  0.077, stdev :  0.100, reliability : -0.298, time : 2095768200.000
mean :  0.080, stdev :  0.102, reliability : -0.263, time : 2095788200.000
mean :  0.077, stdev :  0.098, reliability : -0.278, time : 2095811500.000
