eliability :  0.623, time : 1540426000.000
0.104, reliability :  0.704, time : 1540402000.000
mean :  0.283, stdev :  0.106, reliability :  0.623, time : 1540426000.000
0.104, reliability :  0.704, time : 1540402000.000
mean :  0.283, stdev :  0.106, reliability :  0.623, time : 1540426000.000
mean :  0.116, stdev :  0.088, reliability :  0.244, time : 1540448300.000
mean :  0.045, stdev :  0.066, reliability : -0.489, time : 1540470300.000
mean :  0.029, stdev :  0.048, reliability : -0.658, time : 1540494000.000
mean :  0.011, stdev :  0.024, reliability : -1.123, time : 1540515600.000
mean :  0.002, stdev :  0.009, reliability : -2.792, time : 1540537100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1540560500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1540581100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1540601700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1540624400.000
mean :  0.003, stdev :  0.010, reliability : -2.270, time : 1540644900.000
mean :  0.056, stdev :  0.103, reliability : -0.853, time : 1540666400.000
mean :  0.483, stdev :  0.103, reliability :  0.786, time : 1540690300.000
mean :  0.390, stdev :  0.091, reliability :  0.766, time : 1540712600.000
mean :  0.311, stdev :  0.103, reliability :  0.670, time : 1540735600.000
mean :  0.308, stdev :  0.103, reliability :  0.665, time : 1540758500.000
mean :  0.321, stdev :  0.104, reliability :  0.677, time : 1540781100.000
mean :  0.290, stdev :  0.120, reliability :  0.584, time : 1540805100.000
mean :  0.287, stdev :  0.123, reliability :  0.571, time : 1540827400.000
mean :  0.391, stdev :  0.124, reliability :  0.684, time : 1540850700.000
mean :  0.587, stdev :  0.120, reliability :  0.796, time : 1540873600.000
mean :  0.781, stdev :  0.155, reliability :  0.801, time : 1540895900.000
mean :  0.895, stdev :  0.142, reliability :  0.842, time : 1540920100.000
mean :  0.844, stdev :  0.138, reliability :  0.836, time : 1540942300.000
mean :  0.696, stdev :  0.145, reliability :  0.792, time : 1540966300.000
mean :  0.431, stdev :  0.162, reliability :  0.625, time : 1540988800.000
mean :  0.160, stdev :  0.084, reliability :  0.476, time : 1541011100.000
mean :  0.026, stdev :  0.046, reliability : -0.722, time : 1541035100.000
mean :  0.016, stdev :  0.032, reliability : -0.976, time : 1541056800.000
mean :  0.061, stdev :  0.085, reliability : -0.380, time : 1541078500.000
mean :  0.181, stdev :  0.121, reliability :  0.328, time : 1541102000.000
mean :  0.464, stdev :  0.130, reliability :  0.721, time : 1541124500.000
mean :  0.829, stdev :  0.180, reliability :  0.782, time : 1541148300.000
mean :  1.317, stdev :  0.174, reliability :  0.868, time : 1541170700.000
mean :  1.838, stdev :  0.202, reliability :  0.890, time : 1541193000.000
mean :  2.190, stdev :  0.187, reliability :  0.915, time : 1541217000.000
mean :  2.436, stdev :  0.177, reliability :  0.928, time : 1541239400.000
mean :  2.665, stdev :  0.211, reliability :  0.921, time : 1541263500.000
mean :  2.815, stdev :  0.199, reliability :  0.929, time : 1541286000.000
mean :  2.809, stdev :  0.196, reliability :  0.930, time : 1541309400.000
mean :  2.578, stdev :  0.207, reliability :  0.920, time : 1541332400.000
mean :  2.082, stdev :  0.247, reliability :  0.881, time : 1541354800.000
mean :  1.366, stdev :  0.179, reliability :  0.869, time : 1541379100.000
mean :  0.467, stdev :  0.254, reliability :  0.457, time : 1541401300.000
mean :  0.001, stdev :  0.005, reliability : -4.850, time : 1541424400.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1541446400.000
mean :  0.000, stdev :  0.002, reliability : -10.080, time : 1541467400.000
mean :  0.003, stdev :  0.012, reliability : -2.954, time : 1541490300.000
mean :  0.053, stdev :  0.078, reliability : -0.476, time : 1541512100.000
mean :  0.185, stdev :  0.118, reliability :  0.362, time : 1541534300.000
mean :  0.567, stdev :  0.122, reliability :  0.786, time : 1541558100.000
mean :  1.087, stdev :  0.227, reliability :  0.791, time : 1541580500.000
mean :  1.625, stdev :  0.188, reliability :  0.885, time : 1541603200.000
mean :  2.063, stdev :  0.186, reliability :  0.910, time : 1541626800.000
mean :  2.248, stdev :  0.182, reliability :  0.919, time : 1541649400.000
mean :  2.116, stdev :  0.201, reliability :  0.905, time : 1541673600.000
mean :  1.775, stdev :  0.152, reliability :  0.914, time : 1541696000.000
mean :  1.396, stdev :  0.178, reliability :  0.872, time : 1541719700.000
mean :  1.089, stdev :  0.169, reliability :  0.845, time : 1541742200.000
mean :  0.783, stdev :  0.129, reliability :  0.835, time : 1541764700.000
mean :  0.658, stdev :  0.132, reliability :  0.799, time : 1541788800.000
mean :  0.649, stdev :  0.132, reliability :  0.797, time : 1541811200.000
mean :  0.707, stdev :  0.131, reliability :  0.815, time : 1541835100.000
mean :  0.798, stdev :  0.130, reliability :  0.837, time : 1541857400.000
mean :  0.814, stdev :  0.132, reliability :  0.838, time : 1541879700.000
mean :  0.760, stdev :  0.139, reliability :  0.817, time : 1541904000.000
mean :  0.681, stdev :  0.140, reliability :  0.794, time : 1541926300.000
mean :  0.617, stdev :  0.132, reliability :  0.787, time : 1541950200.000
mean :  0.591, stdev :  0.132, reliability :  0.776, time : 1541972600.000
mean :  0.546, stdev :  0.124, reliability :  0.774, time : 1541994800.000
mean :  0.331, stdev :  0.152, reliability :  0.540, time : 1542018800.000
mean :  0.060, stdev :  0.088, reliability : -0.463, time : 1542041100.000
mean :  0.012, stdev :  0.028, reliability : -1.258, time : 1542064000.000
mean :  0.014, stdev :  0.032, reliability : -1.197, time : 1542085900.000
mean :  0.028, stdev :  0.044, reliability : -0.587, time : 1542107900.000
mean :  0.069, stdev :  0.088, reliability : -0.279, time : 1542131100.000
mean :  0.198, stdev :  0.120, reliability :  0.395, time : 1542153200.000
mean :  0.543, stdev :  0.136, reliability :  0.750, time : 1542175100.000
mean :  0.986, stdev :  0.201, reliability :  0.796, time : 1542199200.000
mean :  1.338, stdev :  0.162, reliability :  0.879, time : 1542221800.000
mean :  1.506, stdev :  0.171, reliability :  0.887, time : 1542245800.000
mean :  1.426, stdev :  0.183, reliability :  0.871, time : 1542268200.000
mean :  1.186, stdev :  0.179, reliability :  0.849, time : 1542290400.000
mean :  0.927, stdev :  0.127, reliability :  0.863, time : 1542314500.000
mean :  0.709, stdev :  0.165, reliability :  0.767, time : 1542337200.000
mean :  0.555, stdev :  0.155, reliability :  0.721, time : 1542361100.000
mean :  0.512, stdev :  0.149, reliability :  0.708, time : 1542383400.000
mean :  0.293, stdev :  0.339, reliability : -0.155, time : 1542405800.000
mean :  0.387, stdev :  0.192, reliability :  0.504, time : 1542429100.000
mean :  0.784, stdev :  0.163, reliability :  0.792, time : 1542451600.000
mean :  1.064, stdev :  0.153, reliability :  0.856, time : 1542475400.000
mean :  1.188, stdev :  0.180, reliability :  0.849, time : 1542497900.000
mean :  1.176, stdev :  0.175, reliability :  0.851, time : 1542520400.000
mean :  0.912, stdev :  0.205, reliability :  0.775, time : 1542544100.000
mean :  0.425, stdev :  0.160, reliability :  0.623, time : 1542566700.000
mean :  0.080, stdev :  0.092, reliability : -0.145, time : 1542590600.000
mean :  0.012, stdev :  0.026, reliability : -1.240, time : 1542612500.000
mean :  0.017, stdev :  0.034, reliability : -1.022, time : 1542633900.000
mean :  0.051, stdev :  0.065, reliability : -0.278, time : 1542657700.000
mean :  0.111, stdev :  0.107, reliability :  0.037, time : 1542679400.000
mean :  0.128, stdev :  0.117, reliability :  0.085, time : 1542703000.000
mean :  0.182, stdev :  0.126, reliability :  0.309, time : 1542725200.000
mean :  0.270, stdev :  0.161, reliability :  0.405, time : 1542747400.000
mean :  0.410, stdev :  0.146, reliability :  0.645, time : 1542771500.000
mean :  0.726, stdev :  0.162, reliability :  0.777, time : 1542793700.000
mean :  1.272, stdev :  0.262, reliability :  0.794, time : 1542817400.000
mean :  1.982, stdev :  0.219, reliability :  0.889, time : 1542839900.000
mean :  2.645, stdev :  0.256, reliability :  0.903, time : 1542862500.000
mean :  2.980, stdev :  0.221, reliability :  0.926, time : 1542886500.000
mean :  2.829, stdev :  0.248, reliability :  0.912, time : 1542908900.000
mean :  2.279, stdev :  0.176, reliability :  0.923, time : 1542933000.000
mean :  1.420, stdev :  0.297, reliability :  0.791, time : 1542955500.000
mean :  0.409, stdev :  0.272, reliability :  0.334, time : 1542977700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1543001700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1543022200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 1543042800.000
mean :  0.023, stdev :  0.044, reliability : -0.933, time : 1543065500.000
mean :  0.062, stdev :  0.079, reliability : -0.285, time : 1543087200.000
mean :  0.288, stdev :  0.134, reliability :  0.535, time : 1543109000.000
mean :  0.861, stdev :  0.285, reliability :  0.669, time : 1543132900.000
mean :  1.617, stdev :  0.226, reliability :  0.860, time : 1543155300.000
mean :  2.335, stdev :  0.225, reliability :  0.904, time : 1543179500.000
mean :  2.781, stdev :  0.229, reliability :  0.918, time : 1543201800.000
mean :  2.872, stdev :  0.219, reliability :  0.924, time : 1543224100.000
mean :  2.648, stdev :  0.198, reliability :  0.925, time : 1543248300.000
mean :  2.274, stdev :  0.226, reliability :  0.901, time : 1543270900.000
mean :  1.875, stdev :  0.228, reliability :  0.878, time : 1543295000.000
mean :  1.531, stdev :  0.151, reliability :  0.901, time : 1543317200.000
mean :  1.427, stdev :  0.188, reliability :  0.868, time : 1543340200.000
mean :  1.240, stdev :  0.170, reliability :  0.863, time : 1543363500.000
mean :  1.132, stdev :  0.164, reliability :  0.855, time : 1543385900.000
mean :  1.084, stdev :  0.162, reliability :  0.851, time : 1543410200.000
mean :  1.139, stdev :  0.178, reliability :  0.844, time : 1543432400.000
mean :  1.296, stdev :  0.165, reliability :  0.872, time : 1543455700.000
mean :  1.428, stdev :  0.166, reliability :  0.884, time : 1543478700.000
mean :  1.435, stdev :  0.169, reliability :  0.882, time : 1543501100.000
mean :  1.320, stdev :  0.177, reliability :  0.866, time : 1543525400.000
mean :  1.217, stdev :  0.163, reliability :  0.866, time : 1543547600.000
mean :  1.189, stdev :  0.163, reliability :  0.863, time : 1543571600.000
mean :  1.255, stdev :  0.159, reliability :  0.873, time : 1543594000.000
mean :  1.408, stdev :  0.190, reliability :  0.865, time : 1543616300.000
mean :  1.592, stdev :  0.175, reliability :  0.890, time : 1543640600.000
