8stdev  0.826, time : 1834398500.000
mean :  0.763, stdev :  0.145, reliability :  0.810, time : 1834423800.000
mean :  0.710, stdev :  0.140, re : 1834398500.000
mean :  0.763, stdev :  0.145, reliability :  0.810, time : 1834423800.000
mean :  0.710, stdev :  0.140, reliability :  0.804, time : 1834444900.000
mean :  0.627, stdev :  0.136, reliability :  0.784, time : 1834466900.000
mean :  0.488, stdev :  0.145, reliability :  0.703, time : 1834491900.000
mean :  0.520, stdev :  0.138, reliability :  0.735, time : 1834513500.000
mean :  0.513, stdev :  0.135, reliability :  0.736, time : 1834538800.000
mean :  0.462, stdev :  0.139, reliability :  0.699, time : 1834560000.000
mean :  0.418, stdev :  0.127, reliability :  0.696, time : 1834582800.000
mean :  0.391, stdev :  0.130, reliability :  0.667, time : 1834606600.000
mean :  0.391, stdev :  0.130, reliability :  0.668, time : 1834628600.000
mean :  0.385, stdev :  0.130, reliability :  0.664, time : 1834653800.000
mean :  0.389, stdev :  0.129, reliability :  0.667, time : 1834675100.000
mean :  0.394, stdev :  0.127, reliability :  0.676, time : 1834698000.000
mean :  0.387, stdev :  0.130, reliability :  0.665, time : 1834721300.000
mean :  0.383, stdev :  0.130, reliability :  0.660, time : 1834743400.000
mean :  0.367, stdev :  0.123, reliability :  0.664, time : 1834768600.000
mean :  0.372, stdev :  0.124, reliability :  0.666, time : 1834790100.000
mean :  0.392, stdev :  0.129, reliability :  0.672, time : 1834813100.000
mean :  0.406, stdev :  0.128, reliability :  0.685, time : 1834836400.000
mean :  0.408, stdev :  0.138, reliability :  0.662, time : 1834858100.000
mean :  0.398, stdev :  0.126, reliability :  0.684, time : 1834883600.000
mean :  0.391, stdev :  0.128, reliability :  0.671, time : 1834904800.000
mean :  0.381, stdev :  0.129, reliability :  0.662, time : 1834928300.000
mean :  0.373, stdev :  0.125, reliability :  0.666, time : 1834951200.000
mean :  0.353, stdev :  0.127, reliability :  0.640, time : 1834972900.000
mean :  0.340, stdev :  0.121, reliability :  0.645, time : 1834998700.000
mean :  0.305, stdev :  0.122, reliability :  0.601, time : 1835019600.000
mean :  0.282, stdev :  0.124, reliability :  0.561, time : 1835043600.000
mean :  0.274, stdev :  0.120, reliability :  0.563, time : 1835066100.000
mean :  0.295, stdev :  0.119, reliability :  0.596, time : 1835087700.000
mean :  0.315, stdev :  0.121, reliability :  0.616, time : 1835113700.000
