00
mean :  0.138, stdev :  0.112, reliability :  0.191, time : 1203907600.000
mean :  0.159, stdev :  0.110, rel: 1203884200.000
mean :  0.138, stdev :  0.112, reliability :  0.191, time : 1203907600.000
mean :  0.159, stdev :  0.110, reliability :  .000
mean :  0.138, stdev :  0.112, reliability :  0.191, time : 1203907600.000
mean :  0.159, stdev :  0.110, reliability :  0.312, time : 1203930200.000
mean :  0.181, stdev :  0.116, reliability :  0.360, time : 1203953000.000
mean :  0.227, stdev :  0.110, reliability :  0.515, time : 1203975900.000
mean :  0.271, stdev :  0.115, reliability :  0.574, time : 1203998700.000
mean :  0.259, stdev :  0.110, reliability :  0.573, time : 1204022000.000
mean :  0.246, stdev :  0.114, reliability :  0.537, time : 1204044800.000
mean :  0.237, stdev :  0.111, reliability :  0.530, time : 1204067700.000
mean :  0.229, stdev :  0.109, reliability :  0.527, time : 1204090500.000
mean :  0.222, stdev :  0.113, reliability :  0.492, time : 1204113300.000
mean :  0.224, stdev :  0.110, reliability :  0.508, time : 1204136700.000
mean :  0.193, stdev :  0.114, reliability :  0.408, time : 1204159200.000
mean :  0.092, stdev :  0.114, reliability : -0.233, time : 1204182000.000
mean :  0.072, stdev :  0.093, reliability : -0.291, time : 1204204400.000
mean :  0.095, stdev :  0.100, reliability : -0.053, time : 1204227300.000
mean :  0.147, stdev :  0.107, reliability :  0.270, time : 1204250100.000
mean :  0.177, stdev :  0.112, reliability :  0.365, time : 1204272800.000
mean :  0.195, stdev :  0.108, reliability :  0.445, time : 1204295800.000
mean :  0.221, stdev :  0.112, reliability :  0.493, time : 1204318300.000
mean :  0.241, stdev :  0.107, reliability :  0.557, time : 1204341800.000
mean :  0.244, stdev :  0.109, reliability :  0.551, time : 1204364400.000
mean :  0.219, stdev :  0.098, reliability :  0.550, time : 1204387300.000
mean :  0.207, stdev :  0.105, reliability :  0.494, time : 1204410100.000
mean :  0.214, stdev :  0.106, reliability :  0.505, time : 1204432900.000
