0.000, reliability :    NAN, time : 853358020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853379070.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853400770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853421310.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853442880.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853463360.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853484740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853505980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853526850.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853548740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853568960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853590590.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853611140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853632510.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853653760.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853674560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853696450.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853716610.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853738240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853758910.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853780160.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853801540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853822270.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853844160.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853864130.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853885820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853906560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853927870.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853949250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853969860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 853991740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854011900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854033470.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854054530.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854075460.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854097150.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854117630.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854139260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854159740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854181120.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854202300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854223170.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854245060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854265220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854286910.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854307390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854328770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854350140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854370880.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854392770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854412930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854434560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854455230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854476540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854497860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854518590.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854540480.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854560580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854582210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854603200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854624190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854645820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854666370.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854688060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854708420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854729860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854750980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854771900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854793660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854814080.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854835710.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854856060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854877440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854898880.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854919550.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854941500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854961660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 854983420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855003970.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855025280.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855046720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855067390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855089340.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855109440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855131010.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855151870.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855173060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855194560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855215170.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855236930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855257280.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855278720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855299780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855320770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855342530.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855362940.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855384580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855404930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855426300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855447740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855468420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855490300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855510530.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855532160.000
