 0.000, reliability :    NAN, time : 583165700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 583186820.000
  0.000, reliability :    NAN, time : 583165700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 583186820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 583208000.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583229060.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583251070.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583272960.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 583295100.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583316990.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583339070.000
mean :  0.000, stdev :  0.002, reliability : -5.520, time : 583361280.000
mean :  0.000, stdev :  0.001, reliability : -11.300, time : 583383040.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 583405120.000
mean :  0.000, stdev :  0.001, reliability : -11.300, time : 583427260.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583449220.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583471490.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583493250.000
mean :  0.000, stdev :  0.002, reliability : -6.055, time : 583515330.000
mean :  0.000, stdev :  0.001, reliability : -11.300, time : 583537470.000
mean :  0.000, stdev :  0.002, reliability : -5.520, time : 583559360.000
mean :  0.000, stdev :  0.002, reliability : -6.741, time : 583581440.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583603460.000
mean :  0.000, stdev :  0.002, reliability : -6.055, time : 583625340.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583647550.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583669440.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583691520.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583713600.000
mean :  0.000, stdev :  0.002, reliability : -5.520, time : 583735490.000
mean :  0.000, stdev :  0.002, reliability : -5.520, time : 583757570.000
mean :  0.000, stdev :  0.002, reliability : -6.741, time : 583779580.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583801540.000
mean :  0.000, stdev :  0.001, reliability : -11.300, time : 583823740.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 583845500.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583867710.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583889790.000
mean :  0.000, stdev :  0.001, reliability : -11.300, time : 583911620.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583933700.000
mean :  0.000, stdev :  0.002, reliability : -7.669, time : 583955710.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 583977600.000
mean :  0.000, stdev :  0.001, reliability : -11.300, time : 583999810.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 584021630.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 584043710.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 584065860.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 584087810.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 584110020.000
