mean :  1.136, stdev :  0.913, reliability :  0.197, time : 276440610.000
mean :  1.130, stdev :  0.909, reliability :  0.196, time : 276463390.000
mean :  1.168, stdev :  0.912, reliability :  0.219, time : 276486110.000
mean :  1.116, stdev :  0.907, reliability :  0.187, time : 276508990.000
mean :  1.147, stdev :  0.912, reliability :  0.205, time : 276531680.000
mean :  1.157, stdev :  0.902, reliability :  0.221, time : 276554430.000
mean :  1.113, stdev :  0.902, reliability :  0.190, time : 276577280.000
mean :  1.145, stdev :  0.915, reliability :  0.201, time : 276599940.000
mean :  1.144, stdev :  0.907, reliability :  0.208, time : 276622720.000
mean :  1.120, stdev :  0.906, reliability :  0.191, time : 276645500.000
mean :  1.149, stdev :  0.914, reliability :  0.204, time : 276668160.000
mean :  1.140, stdev :  0.914, reliability :  0.198, time : 276690980.000
mean :  1.133, stdev :  0.909, reliability :  0.198, time : 276713730.000
mean :  1.161, stdev :  0.911, reliability :  0.215, time : 276736450.000
mean :  1.116, stdev :  0.915, reliability :  0.180, time : 276759300.000
mean :  1.158, stdev :  0.921, reliability :  0.205, time : 276781980.000
mean :  1.169, stdev :  0.910, reliability :  0.221, time : 276804770.000
mean :  1.125, stdev :  0.912, reliability :  0.189, time : 276827620.000
mean :  1.159, stdev :  0.919, reliability :  0.207, time : 276850300.000
mean :  1.160, stdev :  0.913, reliability :  0.213, time : 276873090.000
mean :  1.126, stdev :  0.911, reliability :  0.191, time : 276895900.000
mean :  1.157, stdev :  0.918, reliability :  0.206, time : 276918530.000
mean :  1.143, stdev :  0.917, reliability :  0.198, time : 276941340.000
mean :  1.132, stdev :  0.910, reliability :  0.196, time : 276964100.000
mean :  1.161, stdev :  0.912, reliability :  0.214, time : 276986780.000
mean :  1.111, stdev :  0.913, reliability :  0.178, time : 277009660.000
mean :  1.146, stdev :  0.916, reliability :  0.200, time : 277032420.000
mean :  1.161, stdev :  0.906, reliability :  0.220, time : 277055140.000
mean :  1.113, stdev :  0.905, reliability :  0.187, time : 277077980.000
mean :  1.148, stdev :  0.913, reliability :  0.205, time : 277100640.000
mean :  1.144, stdev :  0.903, reliability :  0.211, time : 277123460.000
mean :  1.115, stdev :  0.903, reliability :  0.190, time : 277146240.000
mean :  1.145, stdev :  0.912, reliability :  0.204, time : 277168900.000
mean :  1.138, stdev :  0.912, reliability :  0.199, time : 277191710.000
mean :  1.129, stdev :  0.907, reliability :  0.196, time : 277214500.000
mean :  1.167, stdev :  0.913, reliability :  0.217, time : 277237220.000
mean :  1.122, stdev :  0.914, reliability :  0.185, time : 277260100.000
mean :  1.152, stdev :  0.917, reliability :  0.205, time : 277282750.000
mean :  1.167, stdev :  0.910, reliability :  0.220, time : 277305500.000
mean :  1.123, stdev :  0.912, reliability :  0.188, time : 277328380.000
mean :  1.153, stdev :  0.919, reliability :  0.203, time : 277351010.000
mean :  1.154, stdev :  0.907, reliability :  0.214, time : 277373790.000
mean :  1.123, stdev :  0.910, reliability :  0.190, time : 277396610.000
mean :  1.159, stdev :  0.918, reliability :  0.208, time : 277419300.000
mean :  1.150, stdev :  0.916, reliability :  0.203, time : 277442080.000
mean :  1.136, stdev :  0.913, reliability :  0.196, time : 277464900.000
mean :  1.163, stdev :  0.913, reliability :  0.215, time : 277487580.000
mean :  1.122, stdev :  0.912, reliability :  0.186, time : 277510500.000
mean :  1.148, stdev :  0.917, reliability :  0.202, time : 277533150.000
mean :  1.163, stdev :  0.904, reliability :  0.223, time : 277555870.000
mean :  1.113, stdev :  0.905, reliability :  0.187, time : 277578750.000
mean :  1.146, stdev :  0.913, reliability :  0.203, time : 277601410.000
mean :  1.152, stdev :  0.903, reliability :  0.216, time : 277624190.000
mean :  1.117, stdev :  0.906, reliability :  0.189, time : 277647010.000
mean :  1.150, stdev :  0.912, reliability :  0.206, time : 277669660.000
mean :  1.143, stdev :  0.911, reliability :  0.203, time : 277692450.000
mean :  1.128, stdev :  0.907, reliability :  0.196, time : 277715260.000
mean :  1.163, stdev :  0.913, reliability :  0.215, time : 277737950.000
mean :  1.124, stdev :  0.910, reliability :  0.190, time : 277760830.000
mean :  1.150, stdev :  0.915, reliability :  0.205, time : 277783520.000
mean :  1.167, stdev :  0.909, reliability :  0.221, time : 277806270.000
mean :  1.121, stdev :  0.911, reliability :  0.187, time : 277829120.000
mean :  1.153, stdev :  0.918, reliability :  0.203, time : 277851780.000
mean :  1.153, stdev :  0.904, reliability :  0.216, time : 277874560.000
mean :  1.127, stdev :  0.909, reliability :  0.193, time : 277897340.000
mean :  1.156, stdev :  0.915, reliability :  0.209, time : 277920000.000
mean :  1.143, stdev :  0.912, reliability :  0.202, time : 277942820.000
mean :  1.127, stdev :  0.906, reliability :  0.196, time : 277965630.000
mean :  1.163, stdev :  0.913, reliability :  0.214, time : 277988290.000
mean :  1.121, stdev :  0.914, reliability :  0.184, time : 278011170.000
mean :  1.151, stdev :  0.915, reliability :  0.205, time : 278033890.000
mean :  1.168, stdev :  0.907, reliability :  0.224, time : 278056640.000
mean :  1.117, stdev :  0.907, reliability :  0.188, time : 278079490.000
mean :  1.144, stdev :  0.913, reliability :  0.202, time : 278102140.000
mean :  1.153, stdev :  0.902, reliability :  0.218, time : 278124930.000
mean :  1.117, stdev :  0.903, reliability :  0.192, time : 278147710.000
mean :  1.142, stdev :  0.910, reliability :  0.203, time : 278170370.000
mean :  1.137, stdev :  0.910, reliability :  0.200, time : 278193180.000
mean :  1.123, stdev :  0.904, reliability :  0.195, time : 278216000.000
mean :  1.157, stdev :  0.910, reliability :  0.214, time : 278238660.000
mean :  1.119, stdev :  0.908, reliability :  0.188, time : 278261500.000
mean :  1.148, stdev :  0.914, reliability :  0.204, time : 278284220.000
mean :  1.161, stdev :  0.906, reliability :  0.220, time : 278306980.000
mean :  1.117, stdev :  0.908, reliability :  0.187, time : 278329820.000
mean :  1.149, stdev :  0.917, reliability :  0.202, time : 278352480.000
mean :  1.157, stdev :  0.904, reliability :  0.219, time : 278375260.000
mean :  1.124, stdev :  0.909, reliability :  0.192, time : 278398110.000
mean :  1.157, stdev :  0.919, reliability :  0.206, time : 278420770.000
mean :  1.149, stdev :  0.916, reliability :  0.203, time : 278443550.000
mean :  1.131, stdev :  0.911, reliability :  0.195, time : 278466370.000
mean :  1.167, stdev :  0.917, reliability :  0.214, time : 278489020.000
mean :  1.124, stdev :  0.913, reliability :  0.188, time : 278511870.000
mean :  1.151, stdev :  0.916, reliability :  0.204, time : 278534590.000
mean :  1.167, stdev :  0.909, reliability :  0.221, time : 278557310.000
mean :  1.123, stdev :  0.912, reliability :  0.188, time : 278580220.000
mean :  1.149, stdev :  0.917, reliability :  0.202, time : 278602880.000
mean :  1.152, stdev :  0.899, reliability :  0.220, time : 278625660.000
mean :  1.118, stdev :  0.905, reliability :  0.190, time : 278648480.000
mean :  1.148, stdev :  0.912, reliability :  0.206, time : 278671140.000
mean :  1.140, stdev :  0.910, reliability :  0.202, time : 278693920.000
mean :  1.120, stdev :  0.905, reliability :  0.192, time : 278716740.000
mean :  1.151, stdev :  0.908, reliability :  0.211, time : 278739390.000
mean :  1.111, stdev :  0.906, reliability :  0.185, time : 278762300.000
mean :  1.137, stdev :  0.910, reliability :  0.200, time : 278784990.000
mean :  1.160, stdev :  0.905, reliability :  0.220, time : 278807740.000
mean :  1.114, stdev :  0.906, reliability :  0.187, time : 278830620.000
mean :  1.145, stdev :  0.913, reliability :  0.202, time : 278853250.000
mean :  1.151, stdev :  0.901, reliability :  0.218, time : 278876030.000
mean :  1.120, stdev :  0.906, reliability :  0.191, time : 278898820.000
mean :  1.160, stdev :  0.917, reliability :  0.209, time : 278921540.000
mean :  1.146, stdev :  0.917, reliability :  0.199, time : 278944420.000
mean :  1.132, stdev :  0.911, reliability :  0.195, time : 278967260.000
mean :  1.161, stdev :  0.915, reliability :  0.212, time : 278989950.000
mean :  1.125, stdev :  0.913, reliability :  0.188, time : 279012770.000
mean :  1.150, stdev :  0.917, reliability :  0.203, time : 279035520.000
mean :  1.164, stdev :  0.909, reliability :  0.219, time : 279058240.000
mean :  1.123, stdev :  0.911, reliability :  0.188, time : 279081120.000
mean :  1.153, stdev :  0.917, reliability :  0.204, time : 279103780.000
mean :  1.158, stdev :  0.904, reliability :  0.219, time : 279126560.000
mean :  1.123, stdev :  0.907, reliability :  0.192, time : 279149380.000
mean :  1.150, stdev :  0.914, reliability :  0.206, time : 279172030.000
mean :  1.141, stdev :  0.913, reliability :  0.200, time : 279194820.000
mean :  1.122, stdev :  0.905, reliability :  0.194, time : 279217630.000
mean :  1.151, stdev :  0.910, reliability :  0.209, time : 279240290.000
mean :  1.118, stdev :  0.909, reliability :  0.187, time : 279263070.000
